id,text,anger,disgust,fear,joy,sadness,surprise
ptbr_dev_track_b_00001,"I'm not the one who came to talk to you, I just showed you that the STF is ordering you to investigate all sides, but now you're talking to three users about the same subject, you know that the EU supports you and now you're supporting you to investigate that the STF is ordering you to arrest the anti-system of all sides"", so now you can say that Bolsonaro is anti-democracy.",1,0,0,0,0,0
ptbr_dev_track_b_00002,What is it? What is it? What is it?,0,0,0,0,0,1
ptbr_dev_track_b_00003,Here is what I am going to do.,0,0,0,0,0,0
ptbr_dev_track_b_00004,I understand? Um pastor pede pra outro pastor levantar un grupo de personas e espancar ele no Twitter???? Q what kind of God are these people following?? Q what kind of religion are they preaching???,1,1,0,0,0,2
ptbr_dev_track_b_00005,It's very nice.,0,0,0,2,0,1
ptbr_dev_track_b_00006,"Pedro, that's perfect.",0,0,0,2,0,0
ptbr_dev_track_b_00007,"I don't like people who are on top of the wall, I like indecision or behind a book.",1,0,0,0,0,0
ptbr_dev_track_b_00008,Zero maturity here.,1,1,0,0,0,0
ptbr_dev_track_b_00009,"I have the right?! SUSPEITOS!? But all, according to the constitution, are not INOCENTES until proven otherwise? I will ask a jurist...",2,0,0,0,0,2
ptbr_dev_track_b_00010,"MORTA E O KAWAII N PODIA VIR SEM O "":3"" Bicha 0 proudly credits q almost chorei when eu achei q Erza died? Still well q n tive sons in that time iam all se call natsu gray e erza luci o q I have a ver ver",0,0,0,1,0,1
ptbr_dev_track_b_00011,I'm getting ready because I know I'm going to fail I'm coming no local no dia cheio de dívidas but I'm ordering everything pra puta that pariu,1,0,0,0,0,0
ptbr_dev_track_b_00012,"Anything that makes me cry, I feel like I'm crying? I'm crying. I saw a dog abandoned on the street?",0,0,0,0,2,0
ptbr_dev_track_b_00013,Is this a spin-off?,0,0,0,0,0,1
ptbr_dev_track_b_00014,Imagine being a racing torchbearer when the Independent was the fourth champion.,0,0,0,0,0,0
ptbr_dev_track_b_00015,<unk> o cheiro e a flor by sandyalê! <unk> agora on the radio,0,0,0,0,0,0
ptbr_dev_track_b_00016,Vacilation is a lixo kkkk,1,0,0,0,0,0
ptbr_dev_track_b_00017,I'm going to do it. I'm going to do it. I'm going to do it.,0,0,0,1,0,1
ptbr_dev_track_b_00018,"Man, God wants me to be close to my family and my friends, even if I win any amount enough to sum up this map I don't want to think about 2x",1,0,0,0,0,0
ptbr_dev_track_b_00019,errou feio errou rude,0,0,0,0,0,0
ptbr_dev_track_b_00020,"Last time someone tried to do grace with my brother, I went so far as to beat that my mother went to the bathroom desperate indoors on the street to get me to pull from the top of the fdp.... mexe comigo, só não mexe com meus irmãos!!!",3,0,0,0,0,0
ptbr_dev_track_b_00021,Unbelievable as a discussion no final is reduced to the concern of kindergarten <unk>,1,0,0,0,0,0
ptbr_dev_track_b_00022,A great failure of Bolsonaro is not to put the freedoms of our children.,1,0,0,0,0,0
ptbr_dev_track_b_00023,I am proud to get to see this contest from another angle.,0,0,0,1,0,0
ptbr_dev_track_b_00024,"And we can have lost a Greta Thunberg cruelly murdered by Ághata our Wonderful Girl had only 8 years of her speech was only a doll Monica, but who can affirm the opposite that at 16 years old Monica trotted for the flag of a world more just and sustainable.",0,0,0,0,1,0
ptbr_dev_track_b_00025,"Perfect, yes or no?",0,0,0,2,0,0
ptbr_dev_track_b_00026,pqp como eu sou burra. What are you doing?,2,0,0,0,0,0
ptbr_dev_track_b_00027,"I want to get to a Patamar that I'm going to make a purchase and when the seller talks about the price, I say the same thing as Lucas Lira: ""I'm not looking for the best cost benefit, I'm looking for a better option""",0,0,0,0,0,0
ptbr_dev_track_b_00028,No one is at the reception.,2,0,0,0,0,0
ptbr_dev_track_b_00029,They are robbing for power and not for Brazils game.,1,0,0,0,0,0
