id,text,anger,disgust,fear,joy,sadness,surprise
esp_train_track_b_00001,"2018 y lo sigo escuchando Like si tú también, te amo @<username> amor terricola <unk>❤️<unk> I'm going to listen to you like you too, I love you too",0,0,0,3,0,0
esp_train_track_b_00002,"No, the waters.",0,2,0,0,0,0
esp_train_track_b_00003,"I'm already laughing, but I'm laughing, and I'm laughing, and I'm laughing, and I'm laughing, and I'm laughing.",0,0,0,3,0,0
esp_train_track_b_00004,Where the pongo is where they are stupid and disgusting and boring.,2,2,0,0,0,0
esp_train_track_b_00005,"The rhythm is good, the lyrics are un asco and who sings them still more ",0,2,0,0,0,0
esp_train_track_b_00006,I don't want to hear it. I've heard it a thousand times.,0,0,0,2,0,0
esp_train_track_b_00007,Si es mañana y esto llega a 100.000 Millones vistas me pongo a flipar:VXD If it is tomorrow and this reaches a 100.000 Millones vistas I pongo a flipar:VXD,0,0,0,0,0,2
esp_train_track_b_00008,Nunca habia escuchado esto...y ahora me arrepiento. I never had to listen to this... and now I regret it.,0,2,0,0,2,3
esp_train_track_b_00009,I hate it and I don't like it.,2,0,0,0,0,0
esp_train_track_b_00010,Los dos son asombrosos. What are you doing?,0,0,0,1,0,2
esp_train_track_b_00011,A total lack of respect to change the anthem to another language.,2,0,0,0,0,0
esp_train_track_b_00012,Do you know that humor is not?,0,2,0,0,0,2
esp_train_track_b_00013,"Poor friend, always the pay for the fault of his brother.",0,0,0,2,0,0
esp_train_track_b_00014,I thought I'd get a gun or something and kill him.,0,0,1,0,0,2
esp_train_track_b_00015,The man's sleep When he stops talking to me he's afraid,0,0,2,0,0,0
esp_train_track_b_00016,My mother would die if she saw a titanoboa that would scare the snakes.,0,0,2,0,0,0
esp_train_track_b_00017,Or for God's sake 104 million views,0,0,0,0,0,2
esp_train_track_b_00018,Because the court didn't proceed against Benedetti. What do you know they're afraid of?,1,0,0,0,0,2
esp_train_track_b_00019,These are the ones weyes si que dan asco,0,2,0,0,0,0
esp_train_track_b_00020,@<username> ya estas por los 11 millones omg no lo puedo creer<unk> I can't believe what you are saying,0,0,0,0,0,2
