id,text,anger,disgust,fear,joy,sadness,surprise
esp_dev_track_b_00001,Lástima que este roast is going to disappear :(,0,0,0,0,2,0
esp_dev_track_b_00002,"The truth is, 3la has a reason why the costumes are horrible.",0,2,0,0,0,0
esp_dev_track_b_00003,My father broke my heart. He never wanted me.,0,0,0,0,2,0
esp_dev_track_b_00004,You must have super horrible videos and your voices sound like chickens.,2,2,0,0,0,0
esp_dev_track_b_00005,"Que asco, alto cringe larguense de youtube, esto es una mrd de canción <unk> This is a song that is very popular on YouTube.",0,3,0,0,0,0
esp_dev_track_b_00006,BTS es una mierda  BTS is a piece of shit,0,2,0,0,0,0
esp_dev_track_b_00007,"""God, I'm dying...tremendo mujeron, I've already seen a jealous man who starts with ""j de cómo se mueve kim"".",0,0,0,0,0,3
esp_dev_track_b_00008,I can't believe these animals exist.,0,0,0,0,0,2
esp_dev_track_b_00009,The quarantine leaves me with difficult tasks.,0,2,0,0,1,0
esp_dev_track_b_00010,"Poor girl, you burned your solitude.",0,2,0,0,1,2
esp_dev_track_b_00011,Qué asco ;-; Espero y no vuelvas a aparecer en mis recomendados de Youtube<unk> What is it?,2,3,0,0,0,0
esp_dev_track_b_00012,Vaya que triste video   This is a sad video.,0,0,0,0,2,0
esp_dev_track_b_00013,Vivanco has a reason if he has made so many proposals Freile should be denouncing it a long time ago,2,0,0,0,0,0
esp_dev_track_b_00014,Q no mames es nada eso😂😂 This is not the case.,0,0,0,2,0,1
esp_dev_track_b_00015,Viva bukele.hasi se combate el delito. ya nadie se animara a integrar una pandilla.exelente. This is the first time I've seen this kind of thing in my life.,0,0,0,2,0,0
esp_dev_track_b_00016,I said I wanted to continue but at the same time I was afraid.,0,0,2,0,0,0
esp_dev_track_b_00017,I've become what I always swear to destroy...,0,2,0,0,0,2
esp_dev_track_b_00018,I really can't move! jhajajajajajajaja ptm!!! xD!!,0,0,0,2,0,2
esp_dev_track_b_00019,@<username> vale vergaaa <unk> has a who has read manga of children of 12 years <unk>,2,3,0,0,0,0
esp_dev_track_b_00020,I'm afraid my mother's going to change.,0,0,2,0,0,0
esp_dev_track_b_00021,What a beautiful video lindura mayor and porsupuesto that will sell more wonderful things in your life.,0,0,0,3,0,0
esp_dev_track_b_00022,"No, I don't like it because it's so over-acted that it's embarrassing.",0,2,0,0,0,0
esp_dev_track_b_00023,I'm very sad.,0,0,0,0,2,2
esp_dev_track_b_00024,I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm afraid I'm not what I'm going to do is what I'm going to do is what I'm going to do I'm going to do what I'm going to do what I'm going to do what I'm going to do what I'm going to,0,0,3,0,0,0
esp_dev_track_b_00025,"Excellent video, no todo can be politics ",0,0,0,2,0,0
esp_dev_track_b_00026,How the hell do you get in here?,0,0,0,0,0,2
esp_dev_track_b_00027,hagan una video reaction of the video reactions of the roast😂❤ plis!,0,0,0,3,0,0
esp_dev_track_b_00028,"@El<unk>username> is the best, explains in great detail the payment of the plane for which it comes to my school <unk>",0,0,0,2,2,0
