id,text,anger,disgust,fear,joy,sadness,surprise
hau_dev_track_b_00001,"You know, Sufeta Janar da yin damfara Ana",1,0,0,0,1,0
hau_dev_track_b_00002,This is madness.,3,0,0,0,0,0
hau_dev_track_b_00003,"Mayan, Bazai, Sauka, Ba, incompetence, Kawai, and so on and so forth.",3,0,0,0,0,0
hau_dev_track_b_00004,Gskya ne Amma kaso G may yaw ma' came Jaridune Sboda duk may came bazai ga gidansa naci da wuta yakasa ihun neman came ba,0,0,0,0,2,0
hau_dev_track_b_00005,Gaya Kawa su Tinubu daman su suka manna mana kai <unk> This is the first time I've seen this.,0,0,0,0,0,0
hau_dev_track_b_00006,"Kurjin da ke bayansa ya fashe yana zubar da wani ruwa mai kauri, rawaya, kamar man zuma, sai ya lashe, which is the name of the song.",0,3,0,0,0,0
hau_dev_track_b_00007,Bayelsa: Buhari ya taya zababen Zaben is the name of Bayelsa David Lyon murna,0,0,0,3,0,0
hau_dev_track_b_00008,Yasin Yana Kama da Motar.,0,0,0,1,0,0
hau_dev_track_b_00009,2019: Manjo Al-Mustapha yayi wa Buhari wankin waben the bargo of the shellfish,2,0,0,0,0,0
hau_dev_track_b_00010,Ya jikan waenda suka rasu yaba the reason why lafiyan su Allah kuma ya kawo mana the reason why fitina a nigeria ameen allah,0,0,2,0,2,0
hau_dev_track_b_00011,"Fast and loud, you're going to die. You're going to die.",0,3,0,0,0,0
hau_dev_track_b_00012,Arsenal is a disgrace. It's not a disgrace. Arsenal is a work of art.,0,0,0,0,0,0
hau_dev_track_b_00013,The Qur'an and the Sunnah,0,3,0,0,0,0
hau_dev_track_b_00014,Aradu kiyi is the har naji of the Kai-Kai.,0,0,0,1,0,2
hau_dev_track_b_00015,"Al-Jalalin Shari'a is the name of the son of Ibrahim Awarwaron, the future of the family of Baasha.",0,0,0,0,0,0
hau_dev_track_b_00016,Yaro na kashi will be the fo,0,2,0,0,0,0
hau_dev_track_b_00017,Tofa! <unk> The sound of the trumpet is Kenan.,0,0,0,0,0,3
hau_dev_track_b_00018,Majalisa ya ce the rest of the day the rest of the day the rest of the day the rest of the day the rest of the day the rest of the day,0,1,0,0,2,0
hau_dev_track_b_00019,I don't want to be alone. I don't want to be alone.,0,3,0,0,0,0
hau_dev_track_b_00020,a ina abin ya faru haka is the name of the animal.,0,0,0,0,0,2
hau_dev_track_b_00021,"Mata ta tara N700,000 don't you know that you're going to die, don't you know that you're going to die?",0,0,0,0,0,0
hau_dev_track_b_00022,"Tirkashi: Yada Matukan Jirgi Biyu Suka Ba Hammata Iska Ana Tsaka Da Tafiya A Sama, Sai Da Aka Shiga Tsakani is also known as Shiga Tsakani.",0,0,0,0,0,1
hau_dev_track_b_00023,"It's like a wack, it's like a yinki, it's like a rahma, it's like a tie.",0,0,0,2,0,0
hau_dev_track_b_00024,Janye gayyatar da NBA ta yiwa Elrufai: Yan Shi'a mabiya Zakzaky sun yi farin ciki is the name of the game.,0,0,0,1,0,0
hau_dev_track_b_00025, Hegge masu kuruciyar Bera is the name of the game.,2,0,0,0,0,0
hau_dev_track_b_00026,I don't know what to do. I don't know what to do. I don't know what to do.,3,0,0,0,0,0
hau_dev_track_b_00027,Shani Shan shayi Kawai Sukeyi is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one.,1,0,2,0,0,0
hau_dev_track_b_00028,Wai dama nandi ba ako ina suke rana bane?😂😂 What are you doing here?,0,0,0,0,0,2
hau_dev_track_b_00029,Wow gsky ne amma yakamata kiiya son mutum domin da zaki har harki the moon is shining on the moon the moon is shining on the moon the moon is shining on the moon the moon is shining on the moon,0,0,0,1,0,0
hau_dev_track_b_00030,Aure: Rahama Sadau za ta saki sabon Shirin may dogon Matar zango is the name of the game.,0,0,0,0,0,0
hau_dev_track_b_00031,Harin: Mijin Mataimakiyar is the one who is shooting the bomb.,0,0,2,0,1,0
hau_dev_track_b_00032,"Yayan Maryam Booth was the one who made it, but it was a movie, a cewarsa.",0,0,0,0,0,2
hau_dev_track_b_00033,Yarinyawa mayhaifinta amai a saitin bakinsa baisaniba yana bacci tayi is also used.,0,3,0,0,0,0
hau_dev_track_b_00034,"Don't worry, it's the end of the world.",0,1,0,0,0,1
hau_dev_track_b_00035,"Okorocha ga Buhari: Ka fatattaki dark masu mukami da hadimanka, sun gaza. This is the first time I've seen this.",3,0,0,0,0,0
hau_dev_track_b_00036,"Allah son of Ina, you are hisabi, you are duk abin da harshe, you are na ya, Sheikh Khalid.",0,0,0,0,0,0
hau_dev_track_b_00037,"Addua Kada Allah or Bani Haihuwa, Yara Dawainiya ne: Budurwa a Bidiyo Ina",0,0,0,0,0,2
hau_dev_track_b_00038,"Allah Sarki: Ta kwankwaɗa ma yaronta kalanzir, ca take ruwa ne Allah Sarki: This is the first time I've seen this.",0,0,0,0,3,0
hau_dev_track_b_00039,Tsula ya siga tsilla tsilla tsilla is the name of the game.,0,0,0,0,0,0
hau_dev_track_b_00040,"I'm not sure if I'm going to be able to do it, but I'm going to be able to do it.",0,0,2,0,0,0
hau_dev_track_b_00041,Imani da babu babu is not... Tun da aljanun basu taba tashi ta yankees is not ta da Adda ba ko tsohonta sai da zaa mata kishiya bayin Allah ji ba basu gani ba ta sassarasu da Adda Tsabarabar,2,0,0,0,0,0
hau_dev_track_b_00042,"Amman an raina ma talaka wayo wlh, An kasa baka came from kuma anzooron ana came from the song jin ts Kai yan bindiga, """""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Kai kaji zancen banza""""""""""""""""""""""""""""""""""""""""""""""""""""",3,0,0,0,0,0
hau_dev_track_b_00043,ke zakiyi aurene,0,0,0,0,0,1
hau_dev_track_b_00044,Allah ya toni asirin su ameen tunda is the faith of the agaban su tsinanu matsiyata yan buro uba sai kissan dan adam thank god kowa zai mutu su tuna the world of Allah ya ara musu lokacine is the world of the world of the world,3,1,0,0,0,0
hau_dev_track_b_00045,We're not going to get rid of cancer.,0,3,0,0,0,0
hau_dev_track_b_00046,"Jama'at shikenan mu yan North East haka banza a ka barmu. Wallahi Cutar tayi yawa, the one who is coming to Maudan is the one who is coming to the other side of the road.",0,0,0,0,3,0
hau_dev_track_b_00047,Bushashshiyar Abar.. <unk> is the name of the game.,1,0,0,0,0,0
hau_dev_track_b_00048,Allah ya yi wa Sanata Munir Muse rasuwa. This is the first time I've seen this.,0,0,0,0,2,0
hau_dev_track_b_00049,Wai malam abduljabbarkuce tantiri abduljabbar. What are you doing here?,0,0,0,0,0,0
hau_dev_track_b_00050,"Bana aure don mahai yanafina is the last one, bana dana-sani - Budurwa is the last one",0,2,0,0,0,0
hau_dev_track_b_00051,Yarinya is a man who is not a member of the community.,0,3,0,0,0,0
hau_dev_track_b_00052,I'm not going to lie to you.,0,0,0,3,0,0
hau_dev_track_b_00053,"It's a long way to go, but it's a long way to go, and it's a long way to go, and it's a long way to go.",0,0,0,2,0,0
hau_dev_track_b_00054,I'm not sure what you're talking about. I'm not sure what you're talking about.,2,0,0,0,0,0
hau_dev_track_b_00055,Bandakin gidansu yayi datti ba'a kora ruwa ba sai qarni da wari ke busowa is the name of the song.,0,3,0,0,0,0
hau_dev_track_b_00056,Ina na sulbe da amai abakin kofa Shiga is the name of the game.,0,3,0,0,0,0
hau_dev_track_b_00057,Maiduguri suna taya kowa murnan system Yan murnanwa system na is the blind  is the blind system,0,0,0,1,0,0
hau_dev_track_b_00058,"The money is gone, the money is gone, the money is gone, the money is gone, the money is gone.",0,0,0,0,0,0
hau_dev_track_b_00059,Sanda Sun Ceto Matar Da Yan Fusatattun Matasa Ke Zargi Ta Kashe Mijinta is the name of the country where Wurin Kwanciyar Aure is born.,1,0,0,0,0,0
hau_dev_track_b_00060,Allah yasaka da Alheri <unk> Malam <unk> This is the first time I've seen this movie.,0,0,0,2,0,0
hau_dev_track_b_00061,"Matashi Ke: the world is full of death, the world is full of death.",0,2,0,0,1,3
hau_dev_track_b_00062,Suleiman Hunkuyi is the only ticket holder of the Jam'ayyar PDP in 2019,0,0,0,1,0,0
hau_dev_track_b_00063,Wata Sabuwa: Auren G-Fresh Al-Ameen da Sadiya Haruna na nan daram is the name of the game.,0,0,0,0,0,1
hau_dev_track_b_00064,"""Oh, my God, I'm going to kill you"". ""Oh, my God, I'm going to kill you"". ""Oh, my God, I'm going to kill you"".",0,0,0,0,0,1
hau_dev_track_b_00065,"I'm not sure what you're talking about, but I'm not sure what you're talking about.",3,0,0,0,0,0
hau_dev_track_b_00066,Buhari ya yi alkawarin ci gaba da the last mat a fadin the last,0,0,0,2,0,0
hau_dev_track_b_00067,It's a great day to be alive. It's a great day to be alive.,0,3,0,0,0,0
hau_dev_track_b_00068,"It is said that ""Yan Afrika da ke kula Kabarin Manzon Allah (SAW) Da Tariq""",0,0,0,0,0,0
hau_dev_track_b_00069,Uba Uba Zaku Gane Shayi Yan ruwa ne sai Munci Durin Uwarku Idan Allah ya Kaimu Shaggu Matsiyata is the one who is going to the Nadamar with the harsaumin har sau water water,3,0,0,0,0,0
hau_dev_track_b_00070,It's a long way from here. It's a long way from here. It's a long way from here.,0,0,0,0,2,0
hau_dev_track_b_00071,He deserves to be impeached.,2,0,0,0,0,0
hau_dev_track_b_00072,Zamfara ta yi murnan is the place where the water flows from the crown to the crown,0,0,0,3,0,0
hau_dev_track_b_00073,Dazu aka wanke kazamin karen nan me annakiyar daud'a a jini is the name of the game.,0,3,0,0,0,0
hau_dev_track_b_00074,Kayan kuturun sunyi dauda now that's what it is,0,3,0,0,0,0
hau_dev_track_b_00075,Allahigi ubang yasa gawan sa za a dawo dashi nigeria <unk> <unk> You know what I mean?,2,0,0,0,1,0
hau_dev_track_b_00076,"It's too late to turn off the soap, it's too late to turn off the soap, it's too late to turn off the soap.",0,0,0,2,0,0
hau_dev_track_b_00077,Rowa ta tofa miyo no suru suru tamotse kada suru muci ro ta tofa tofa tofa ro tofa ro tofa ro tofa ro tofa ro tofa ro tofa ro tofa ro tofa ro tofa ro,0,3,0,0,0,0
hau_dev_track_b_00078,It's a long way from here. It's a long way from here.,2,0,0,0,0,0
hau_dev_track_b_00079,Wutakam <unk> ana gasamu sosae har munfara konewa Aji tsoron Allah fa <unk> is the name of the game.,2,0,0,0,0,0
hau_dev_track_b_00080,An rufe bankuna a the Ogun bayan 'yan fashi sun yi barazanar kai farmaki An is the name of the bank.,0,0,3,0,0,0
hau_dev_track_b_00081,"Sun Maharaj Matashi, sun Shengsa and Jigawa are the ones who are doing the killing.",0,0,0,0,3,0
hau_dev_track_b_00082,Ta Rufe Hanyar N Shiga is coming to LC  Yan China is coming to Rashin Kulawa Da Kuma Mutuwar Maaikaci is coming to Dan,0,0,0,0,2,0
hau_dev_track_b_00083,"""Oh, my God, my God, my God, my God, my God, my God"".",2,0,0,0,2,0
hau_dev_track_b_00084,Koikina amma du dahaka danmaliyo maliyo kafa uku uku. This is a legend. This is a legend.,0,0,0,0,0,0
hau_dev_track_b_00085,"Wai """"""""duk follow the train kukayi"""""""" 😂😂",0,0,0,0,0,2
hau_dev_track_b_00086,Tofa <unk> alamari ya ** ka Allah tsare mu <unk> Tofa is the name of the god of the sea.,0,0,2,0,0,2
hau_dev_track_b_00087,Ambaliyar ruwa ta is the same as 200 a Taraba Taraba,0,0,0,0,3,0
hau_dev_track_b_00088,Shirme da Shadi sa ni shadi ko shadi ko shadi ai ba muslimai bane amma a addinin su ba ba ba da yard da haka ba duniya kusan ta tashi banji ban banji banji banji banji banji Aziz lafazi ba day Abdul muhammad Bauchi a Dara karamarzo shadi <unk> shadi is the name of the city in which the city is located.,2,0,0,0,0,0
hau_dev_track_b_00089,Wato kasar nan was the babu Wanda zaka yadda dashi..Dga yan siyasar har malaman sun zama yan amshin shata..Su Niger tunda ba saudiyya suke yiwa ibadah sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho sho,1,0,0,0,2,0
hau_dev_track_b_00090,"Subhanallah, you are Zangas master.",0,0,0,0,0,3
hau_dev_track_b_00091,Kifayen sun yi watanda da ba from the river to the river fata masu to the river to the river in Italy,0,0,1,0,1,2
hau_dev_track_b_00092,"Jibi-jibin nan zaku dawo kuce sun warke, meye acikine wai. <unk> <unk> This is the first time I've seen this.",0,0,0,0,0,0
hau_dev_track_b_00093,It's not like I'm going to be able to do it. It's not like I'm going to be able to do it. It's not like I'm going to be able to do it.,3,1,0,0,0,0
hau_dev_track_b_00094,I'm not sure if I'm going to be able to make it.,2,0,0,0,0,0
hau_dev_track_b_00095,"The wind is blowing, but the water is still warm.",0,0,0,0,0,2
hau_dev_track_b_00096,"The eyes of the wretched are not satisfied with the life of the wretched, but the eyes of the wretched are satisfied with the life of the wretched.",0,1,0,0,3,0
hau_dev_track_b_00097,War da yayi wa Nafisa Sada came to the farming of the sugarcane,0,0,0,2,0,0
hau_dev_track_b_00098,I'm going to tell you a story about a girl who's been kidnapped.,2,0,0,0,0,0
hau_dev_track_b_00099,El-Rufai ya tanadi fushin the word idan ya rusa is cooked by Zariya <unk> Abiodun Ogunyemi <unk>,3,0,0,0,1,0
hau_dev_track_b_00100,Zai dade yana Allah wadai😂😂😂 This is the first time I've seen this.,1,0,0,0,0,0
hau_dev_track_b_00101,"I'm not sure if I'm going to be able to do it, but I'm going to be able to do it.",0,0,3,0,1,0
hau_dev_track_b_00102,the way the audience cheered when they heard the gandujes allegation question ganduje ya cuci kanawa wlh‍️‍️,2,0,0,0,2,0
hau_dev_track_b_00103,Da kwado ya fada is the one who is in trouble.,0,0,0,0,0,0
hau_dev_track_b_00104,oh ashe ma ganyen shayi ne <unk>,0,0,0,0,0,2
hau_dev_track_b_00105,Innalillahi Wa'inna Ila Raji'un: Tsananin talauci yasa the one who is harsh Haiti sunaihi cin tuwon kasa don su samu su rayu,0,0,0,0,3,0
