id,text,anger,disgust,fear,joy,sadness,surprise
arq_train_track_b_00001,I'm here to make you happy.,2,0,0,0,0,0
arq_train_track_b_00002,"My eyes: ""He's covered in dust and they're all over him!""",2,0,0,0,3,0
arq_train_track_b_00003,Narrator: In the evening the sun came up and the smell of coffee was in the air. The woman was here at the base of the mallor in the house. Is this sleeping?,0,0,0,1,0,2
arq_train_track_b_00004,My eyes: Am I or the old lady of Arauz? Am I jealous of you? Am I!,2,1,0,0,0,2
arq_train_track_b_00005,The narrator: The sensation of the stars was seen in it and every time a star was moving in it the sky was feeling his heart beating.,0,0,2,0,0,1
arq_train_track_b_00006,"Al-Rai: The beginning of the Sa'ir, the beginning of the intellect and the beginning of the spirit.",0,0,0,0,0,1
arq_train_track_b_00007,Narrator: The Trabant was right. It was difficult and the people who lived at the border risked their lives. They were winning from it and it was necessary for them.,0,0,2,0,1,0
arq_train_track_b_00008,"The narrator: On Saturday with the evening, Omar was going with her to Gonzalez al-Spanioli.",0,0,0,0,0,0
arq_train_track_b_00009,"The narrator: To be taken by her children, congratulated and humiliated.",0,0,0,1,0,0
arq_train_track_b_00010,"Narrator: The police were unable to see the beauty in the darkness, so they destroyed and turned everything upside down.",2,1,0,0,0,0
arq_train_track_b_00011,"Narrator: Two rules to be careful of the greenery so that they can save money if they run with it and if it affects them it will crush them and bring them down in the grave and it was Yoli who poured in his heart the hatred, this hatred had to be done every day on the Hadash to get out of the master.",1,2,0,0,2,0
arq_train_track_b_00012,"Omar didn't know how to help her. The police are in the house. Omar Khammam: ""When are they going to leave?""",1,1,0,0,1,0
arq_train_track_b_00013,"One man: ""They're not the police. Can you hear the feeling I'm giving them? There's no one else to give me that feeling"".",1,1,2,0,0,2
arq_train_track_b_00014,"Her children's eyes are so big, she says, ""Oh, do you hear her?""",2,0,0,0,0,1
arq_train_track_b_00015,"The narrator: Well, who was it that was changing? Who was it that could say? Omar was able to run the impossible with the understanding that he was the one who was wrong.",0,0,0,0,0,2
arq_train_track_b_00016,And the other servants were making sure she said for a second that they were the ones who were being beaten.,0,0,0,0,2,0
arq_train_track_b_00017,"For the sake of their age, they didn't go to the Lord, they died in evil.",2,2,0,0,0,0
arq_train_track_b_00018,The narrator: And the rain fell in the spring... on which Omar knew the holidays for three months without nearly the master.,0,1,0,0,0,0
arq_train_track_b_00019,Omar Khammam: There are second-rate servants. They can be eaten.,0,0,0,0,1,1
arq_train_track_b_00020,Lala: Go feel the service! Isn't it good?,2,1,0,0,0,0
arq_train_track_b_00021,Between husband and wife: Isn't it true that you're all right?,0,0,0,1,1,1
arq_train_track_b_00022,The narrator: The accounts were being erased and her age was not well understood.,0,0,0,0,1,0
arq_train_track_b_00023,Narrator: That joy of making bread! Omar was good on his chest and he was warming it. With his smell you want.,0,0,0,2,0,0
arq_train_track_b_00024,"Omar Khummy said, ""It's not right, and it's not better than this one"".",1,1,0,1,1,0
arq_train_track_b_00025,"She said to Mary: ""Help her to hatch"".",1,0,0,0,0,0
