id,text,anger,disgust,fear,joy,sadness,surprise
chn_train_track_b_00001," Simply put, there are positive cases, when checking close contacts, it was found that some people who had not done nucleic acid for a long time, were also found to be positive, could only be isolated in the process of isolation there were various grievances (sealing too long, poor materials, no subsidies, etc.), people started to sneak away, and there were people who made up rumors about life (open group organization gathering)",0,0,0,0,0,0
chn_train_track_b_00002,Lucky mirror also good cow First time in a TV series felt so densely  camera language  screenwriter music acting all online,0,0,0,2,0,0
chn_train_track_b_00003,"Nowadays, anything that goes on the Internet becomes unfortunate because there are so many people with disabilities who always like to destroy everything that is good.",1,0,0,0,0,0
chn_train_track_b_00004,If you could eat a bunch of your favorite things after waking up at every twilight it would be good to look at a world that is gradually being ruled by darkness take a bite of fried chicken drink a beer fill your stomach full of stuffing where you will feel lonely if none of this is possible as long as you can see him it would be good,0,0,0,2,0,0
chn_train_track_b_00005,"When I was four or five years old, I cried at home every day. I had to go to school, why didn't you let me go to school? At that time, I went to school in the countryside late, and there were no strict age requirements, so I went to primary school before I was six years old.",0,0,0,0,0,0
chn_train_track_b_00006,"<unk> Can only say <unk> blame himself <unk> No one knows how this thing is going but if there is a problem with humanity, there is a problem <unk> There is no point in arguing I am not a black man thank you thank you",0,0,0,0,1,0
chn_train_track_b_00007,"Famous tourist cities, high-speed rail stations have two, county-level cities with a population of 300,000 in the foothills of the mountains, the government's deficit of the previous few years has been compensated, but now it's rotten tail <unk> new houses should be around 7000 <unk> old houses are cheaper <unk>",0,0,0,0,0,0
chn_train_track_b_00008,"I've seen the previous court records, the violent protest, it's all nailed to the board, hoping for a retrial unless there's evidence of subversion, there really should be evidence that came out a long time ago. Don't tie individual athletes to patriotism, our country is not so low that it needs individual athletes to raise national pride, observe sports ethics, build a good image of athletes, that's the basis for respect.",1,0,0,0,0,0
chn_train_track_b_00009,I'm the one with the talent.,1,0,0,0,0,0
chn_train_track_b_00010,"believe dreams are the source of value, believe eyes determine everything in the future, believe the belief of success is more important than success itself, believe life has setbacks no failures, believe the quality of life comes from the belief of never compromising",0,0,0,1,0,0
chn_train_track_b_00011,"If in its long text, there is a cover-up and distortion of the facts, deliberately misleading the public to gain sympathy, then its actions will be suspected of fraud, please close the account of Yang Yang!",2,0,0,0,0,0
chn_train_track_b_00012,"This is the right way! If the Emperor wants to break the table, he should hit it!",2,0,0,0,0,0
chn_train_track_b_00013,"Don't take the rhythm well? <unk> You, the pure, the pure, every time you make him say something complicated, he's the one who gets scolded <unk>",1,0,0,0,0,0
