id,text,anger,disgust,fear,joy,sadness,surprise
amh_dev_track_b_00001,Ethiopia is in danger of becoming a country if the competitive power with a national character based on unity does not come into being in a short time.,0,0,1,0,0,0
amh_dev_track_b_00002,"It is right that there is no mistake in saying that a big job has been done to weaken the North, especially the TPLF leaders who are challenging the Abein Challenge to come to the federal government and not talk to the representatives of the people. It is a great demonstration that a gecho can not stand if the Senate comes alone and talks about the crisis in Ethiopia.",0,1,0,0,0,0
amh_dev_track_b_00003,What should we do when we see on Facebookposts that suggest people may commit suicide?,0,0,0,0,0,0
amh_dev_track_b_00004,"Our politics is the same. Make us the Minister of Peace and we will be greeted. If you strengthen the relations between our government and the people, it will create a beautiful ethnic conflict and extend your term of office. Victory to Ethiopia, Amhara, Yibla, Bandha. I have no doubt that they will change their new warfare style.",1,1,0,0,0,0
amh_dev_track_b_00005,"Tigray, which is hated by those who died in war, mourns the death of those who died in war.",0,0,0,0,1,0
amh_dev_track_b_00006,What annoys me is that nothing is presented as the truth of Saysherraf's case. I have no complaints about your analysis.,1,0,0,0,0,0
amh_dev_track_b_00007,"I've been told to beware of these mafia-managed individuals, both inside and outside the airport system.",0,2,0,0,0,0
amh_dev_track_b_00008,The pain of the dream that Amanyel is wrapped in his mind is with the TPLF. The snake he saw is the kind of one who is shocked by the pain.,0,1,0,0,0,0
amh_dev_track_b_00009,"The TPLF's election board decision was opposed as ""outside the agreement of Pretoria"".",0,0,0,0,0,0
amh_dev_track_b_00010,"The residents of the city of Aras and Sheger, 20 days old, whose house was recently demolished, are in mourning.",0,0,0,0,1,0
amh_dev_track_b_00011,The Tabriz Lodge is wonderful. I'll visit it soon when I get to the country.,0,0,0,3,0,0
amh_dev_track_b_00012,"The rulers of Habesha, under the guise of religion, not only displaced our people from their possessions and lands, but also carried out terrible acts of coercion.",0,1,0,0,2,0
amh_dev_track_b_00013,Does the soft drink flavoring Astpertem cause cancer? What does the World Health Organization say?,0,0,0,0,0,0
