id,text,anger,disgust,fear,joy,sadness,surprise
chn_dev_track_b_00001,"I don't know where I got the money, I've been in a hurry lately and I want to make some money.",0,0,0,0,0,0
chn_dev_track_b_00002,"""Autumn and winter harvest, bird language, flower fragrance, you are the head of the Japanese side"".",0,0,0,1,0,0
chn_dev_track_b_00003,"The best way to get rid of the weeds is to cut the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves, the leaves.",0,0,0,1,0,0
chn_dev_track_b_00004,"(Whether your last name is Jiang or your last name is Yang, as long as you are a person who is legally qualified in China!) Personal fundraising for this matter, should be put on the stage! Hopefully in the future, you will never have to look at this endless, endless personal fundraising for children, grandchildren and great-grandchildren!",2,0,0,0,0,0
chn_dev_track_b_00005,"I believe you, I'm in the street of Fengyang in Hai Pearl District, my neighbor encountered the same thing as you, notified the male, showed the test, and then in the afternoon someone came and pulled away.",1,0,0,0,0,0
chn_dev_track_b_00006,"<unk> There are definitely external forces, the organizational method is very similar to Hong Kong, they still know the law? <unk> Is this like what they can say?",2,0,0,0,0,0
chn_dev_track_b_00007,"Every encounter in life is fate, there is no right or wrong. Every morning in life is worth the effort, not the delay.",0,0,0,1,0,0
chn_dev_track_b_00008,"In real life it is really like this, bad people are caught and convicted, good people continue to live their lives, plain plain, there is no need to exaggerate too much",0,0,0,0,0,0
chn_dev_track_b_00009,"There is no Gao Qishan not and there is Chen Tai<unk>Xujiang... it is a kind of human existence, Anxin facing is not Gao Qishan, but Gao Qishan and their protective shield behind them<unk> so his ending was destined from the beginning to be sad and glorious<unk>",0,0,0,0,0,0
chn_dev_track_b_00010,"From day to night you know that the public is wrong, the public is ignorant, how can the public go down again? Even breathing is wrong.",3,0,0,0,0,0
chn_dev_track_b_00011,"This year there are no relatives, the boss let the relatives call for New Year's Eve, I didn't call, I don't usually have a meeting, I don't move, why does the Spring Festival need a false greeting, I don't want to say those unreasonable enthusiastic lies",0,0,0,0,1,0
chn_dev_track_b_00012,"""You son of a bitch, remember this train, next time the Chinese won't take you, look what he said"".",2,0,0,0,0,0
chn_dev_track_b_00013,"They think that Yang is innocent, and have been encouraging him to actively try to live his life without the three views, I feel that destroying the three views is not enough to let me express my feelings.",2,1,0,0,0,1
chn_dev_track_b_00014,"But I still envy the talented people, but I'm not jealous, it's better to be yourself, like I used to envy him too.",0,0,0,0,0,0
chn_dev_track_b_00015,"As ordinary people, for us, it doesn't matter if we don't wear masks, we just hope that, whether we are citizens, foreigners or people from other planets, on our land in China, we can enforce the uniform regulations, don't double standards.",1,0,0,0,0,0
chn_dev_track_b_00016,"I really admire people who respect their profession in every way, who don't make excuses, who are precious in this fast-paced and floating circle!",0,0,0,2,0,0
chn_dev_track_b_00017,"This kind of officer is not a minority, the vast majority are just thinking about doing less, not doing more, waiting for promotion or keeping their position, as for the original purpose, the dog has already been fed.",1,1,0,0,0,0
chn_dev_track_b_00018,"People's live broadcasts are about introducing products, talking straightforwardly, his live broadcasts are like Korean girl group's head-scratching, only he has one more bottle in his hand.",0,0,0,0,0,0
chn_dev_track_b_00019,"This is in Beijing, in the countryside cities, finished saying tired, directly locked you in a small black house to reflect yourself go <unk> reflect understand 37 days to let you out, reflect do not understand give you come a disturbance order to you for a year <unk>",1,0,0,0,0,0
chn_dev_track_b_00020,"We're all old and dead, my sister and I are all only children, the relationship of the class, that is, the children born to my father's brothers and sisters, but we still spend the year together, because there are fewer relatives, so we have to cherish my daughter more because she is also the only daughter, I always tell her to cherish her brother and sister, always support each other, help each other.",0,0,0,0,0,0
chn_dev_track_b_00021,"When you look at the number of cases in Shijiazhuang in the next few days, I'm afraid it's going to be explosive.",0,0,1,0,0,0
chn_dev_track_b_00022,"<unk> Winds of change, see you in a state of confusion <unk>",0,0,0,1,0,0
chn_dev_track_b_00023,"September has been a lot of places outbreak of the epidemic, why still postponed? once not postponed do not want? no long vacation, many people will not run wild, do a nine-day long, will it make people misunderstand as the epidemic is fine, can go everywhere? is it not to give the place to the pit? <unk>",2,0,0,0,0,0
chn_dev_track_b_00024,"It's better to ban her from competing, come to the entertainment industry to make money, don't get used to her fighting in the front, go home to be slandered by her countrymen, go home to steal her countrymen's money.",1,0,0,0,0,0
chn_dev_track_b_00025,"Yes, indeed, the price of a county house in a county town can be bought for seven or eight thousand, three or four-tier cities can be bought for ten thousand, why do we have to stick to the price of a house in the north, that house who can afford a billion people have to go half? and now many people are rural one house in a city, per capita living area is a lot <unk>",0,0,0,0,0,0
chn_dev_track_b_00026,"<unk>Abstract interpretation, malicious interpretation, sometimes even normal discussion is treated as inappropriate speech, if this is the case, then it is really to reach the point where a person endangers himself <unk>",0,0,0,0,0,0
chn_dev_track_b_00027,"Doing nucleic acid doesn't work, Beijing has tens of thousands of small sun people every day.",0,0,0,0,0,0
chn_dev_track_b_00028,"When you go to show off, people's dolls will hate you, parents will say you look like everyone else.",0,0,0,0,0,0
chn_dev_track_b_00029,How do you explain the low-risk areas that are still sealed off? I don't understand why the areas that aren't sealed off and have no cases should also be sealed off.,0,0,0,0,0,1
chn_dev_track_b_00030,"Kidnapping is uncomfortable first of all on a sensory level, it's normal to be scolded, but there's also support, you can't just allow supporting opinions to exist.",1,0,0,0,0,0
chn_dev_track_b_00031,"Every time I see a big road sign that says National 5A scenic area, I can't understand, is it really a scenic area? I was sad because I lost my loved ones, and looking at this makes me sadder.",0,0,0,0,2,0
chn_dev_track_b_00032,"The heartbeat of a young man thinks of the wilderness of a midsummer night, burning endlessly, the breeze blowing through the sky.",0,0,0,1,0,0
chn_dev_track_b_00033,"The people commenting are really weird, the people are just a mainstream media, reacting to the mainstream society, you when the people are superhuman",1,1,0,0,0,0
chn_dev_track_b_00034,"This sentence is too absolute... it's easy to let oneself be abused, one's life doesn't necessarily have to be able to find one's own talent!",0,0,0,0,1,0
chn_dev_track_b_00035,"Like me, this willingness to take a break with my family in different provinces and cities, this kind of effort to work overtime so that I can go home and stay for a few more days, the mood is happy, if I don't take a break, the time to come back and take the car is enough to deduct two days.",0,0,0,0,0,0
chn_dev_track_b_00036," It's good, actually the hierarchy should be implemented on the mainland  by the time the advertising is also hierarchical, you should see, see what you can see, how good ",0,0,0,1,0,0
chn_dev_track_b_00037,"At least there is an attitude, in fact most of us are reasonable, strict execution and humanization are not contradictory.",1,0,0,0,0,0
chn_dev_track_b_00038,"More than one place like this, I'm at low risk of going home, I'm told I need three more days for a nucleic acid test, I'm quarantined at home for 14 days, the policy in the village is stricter than in the town, or are some officials afraid to take responsibility, cut it off directly?",1,0,0,0,0,0
chn_dev_track_b_00039,"The end of the world is still a long way off, but the people of the world are still not ready to reflect, she still has fans to raise money, I really wonder if there is such a evil in this world, the people of the world have given their lives, they have forced their own selfish indifference to be whitewashed, the naked evil revealed in this human nature, really surprised me......",2,1,0,0,0,1
chn_dev_track_b_00040,"Don't ignore the meaning of effort, it reflects the value of the majority of people more than you think talent does.",0,0,0,0,0,0
chn_dev_track_b_00041,"If you don't work hard, your talents will disappear, and you'll have to work hard, work hard, work hard, work hard, work hard, work hard, work hard, work hard, work hard.",0,0,0,1,0,0
chn_dev_track_b_00042,"I don't know if this officer has any relatives who have returned home, if so, it's not considered malicious return home, shouldn't it be quarantined first, in detention?",1,1,0,0,0,0
chn_dev_track_b_00043,"Type-C's design is far worse than Apple's, Apple is two-sided contact, Type-C is four-sided outer plus iron peel circle, large, poor stability",0,0,0,0,0,0
chn_dev_track_b_00044,"The best distance between us is from the audience to the stage, please don't tempt me anymore.",0,0,0,2,0,0
chn_dev_track_b_00045,"How did the riots caused by the firefighting, confiscation of small workshops, clothing machines, and riots now turn into eating and drinking Lazarus?",1,0,0,0,0,1
chn_dev_track_b_00046,"Alas, the governor of Dong County eats the people's food, so high a salary, so good a welfare, that is to feed the dog, can also feed a piece of loyalty and consideration for the master, but if you feed the governor of Dong County, how can you feed such a king's eight-hearted intestine?",2,1,0,0,0,0
chn_dev_track_b_00047,"I've seen it before, the fish in the previous issue, the skin, the metal, the glitter, the sea elf, the angry ghost, the disgust, the two of them sleeping next to each other. Is that okay? The picture looks good, but the plot is really too weak, the tail is too weak, the red card is a surprise.",0,2,0,0,0,1
chn_dev_track_b_00048,"I was going to wish that I could have the power to protect you, but then I felt it wasn't good enough, so I changed it to ""you'll always be so successful that you won't need anyone's protection"".",0,0,0,1,0,0
chn_dev_track_b_00049,"The county is at the intersection of the Yangtze River, the population density is higher than the provincial average, the per capita GDP is lower than the provincial average, in short, the poor county has a high epidemic prevention pressure, and since January 4th, foreigners are prohibited from entering, facing someone who threatened to shoot back, the county governor made a statement that provoked public anger!",1,0,0,0,1,0
chn_dev_track_b_00050,"High one, lunch, bedroom on the sixth floor, at the time of the earthquake none of our bedrooms reacted, still saying that the wall was so strong, wait until it didn't shake, then go down, at that time the coordinates, the bar in the middle",0,0,2,0,0,0
chn_dev_track_b_00051,"Let some Hubeians go back (I mean some not all, without geographical discrimination), many rental houses in the city and the countryside are theirs, these second-hand landlords are sucking the blood",1,1,0,0,0,0
chn_dev_track_b_00052,"Although the show seems to be on fire lately, but since there are no members of the Aichi Art Society, I thought it was a good idea not to watch it.",0,0,0,0,1,0
chn_dev_track_b_00053,"Losing a child, parents must be sad, but this is not a reason for parents to avoid legal responsibility as adults and guardians of children. No identity should be a crime against the law. No protection should be given to children because of the coat of the parents, because the motive is good, you can do whatever you want to the child.",1,0,0,0,1,0
chn_dev_track_b_00054,"To keep calling, I called twenty times this morning 12345 to connect <unk> don't call 12320, they don't connect <unk>",0,0,0,0,0,0
chn_dev_track_b_00055,"In what was supposed to be a good unlocking, that bunch of hairy guys are now going to turn the world upside down, needing to be suppressed by force... all we can do in the end is be ourselves, wait for the unlocking (of course we still have to swear until we can't sleep).",2,0,0,0,0,0
chn_dev_track_b_00056,"At the beginning of the first walk relatives, there is indeed this feeling, are the upper one-legged bring us to the upper one-legged year of blessing.",0,0,0,0,0,0
chn_dev_track_b_00057,I'm going back to Yangzhou on the 4th. Notice number 16 to concentrate quarantine. I really can't think of a vacuum period between these days.,0,0,0,0,0,0
chn_dev_track_b_00058,"Peaceful night, the air full of joyful laughter, the cage full of peace all seasons, the fireplace burning the flame of happiness, the chimney bursting with auspicious clouds, the text message full of wishes: Happy Christmas, happy Christmas!",0,0,0,1,0,0
