id,text,anger,disgust,fear,joy,sadness,surprise
arq_dev_track_b_00001,Narrator: My eyes were burning the light in the night how many times and killing the law and the Ba'athists infected them.,1,0,0,0,0,0
arq_dev_track_b_00002,"My eyes filled with: ""We are not going to sit like this. We have to be careful to cover the floor while I go.""",1,0,0,0,1,0
arq_dev_track_b_00003,The owner of the house: Your eyes hurt us so much.,2,1,0,0,0,0
arq_dev_track_b_00004,The narrator: One air goes on a thief and he gets cold with him to kill him and burn his flesh.,0,0,0,1,0,1
arq_dev_track_b_00005,One of them didn't solve it: they were good at their teeth. Could they manage and give them a definite rule?,0,0,1,0,1,0
arq_dev_track_b_00006,Narrator: Lala al-Zahra is a promiscuous woman and Omar used to love her. Her face was nostalgic and Omar didn't see that kind of difficulty in people who are laughing. She always smiled.,0,0,0,3,0,0
arq_dev_track_b_00007,My eyes couldn't sleep and were suffering.,0,0,0,0,3,0
arq_dev_track_b_00008,"L: If we don't give them all the food, they'll go to their belongings.",0,0,0,0,0,0
arq_dev_track_b_00009,"My eyes hated what I had hoped for, and I sent Omar to the potter, and he came, and Omar said to the potter, ""Your mother told you to go"".",1,0,0,0,0,0
arq_dev_track_b_00010,My eyes on my grandmother: these accounts could not be right. The hope of her child is called. The woman manages her soul to make a claim that she is right. She adds oil to the fire. Arab Rani we tell you. And the poor old woman is banished from the mother and they are second-in-command.,2,2,0,0,2,0
arq_dev_track_b_00011,"Narrator: When he was a child of five years old, he gave it to the Turks so that people could flee the country in the 14th war.",0,0,1,0,1,0
arq_dev_track_b_00012,Narrator: Ofkar Omar was re-arrested and Talfinullah is being held hostage in a large dumpster.,0,0,0,0,0,1
arq_dev_track_b_00013,"Unable to finish the bread he had been eating in secret, Omar said to his spirit, ""Let me keep the cake for the rest of my life"".",0,0,0,1,0,0
arq_dev_track_b_00014,"The narrator: One says the truth, there was something new, something changed. Mansooriya is wasted like this: Was it the world?",0,0,0,0,0,2
arq_dev_track_b_00015,Our misfortune is of great strength and we have made it a natural necessity in our people.,1,2,0,0,1,0
arq_dev_track_b_00016,Narrator: All the people who go there know this fog where one can complete what he gets out of it.,0,0,1,0,2,1
arq_dev_track_b_00017,Narrator: My aunt Hassanah was the second one to be dismissed with these accounts and how many eyes she had to win from this blow.,0,0,0,1,0,2
arq_dev_track_b_00018,"In my eyes, ""A girl of that age to take care of you, turn your head a little bit, make a mistake, then put your blood in your mouth so that the machine can find her before you take care of her"".",2,2,1,0,1,0
arq_dev_track_b_00019,"My eyes: ""Oh child, you're crazy!""",2,0,0,0,0,1
arq_dev_track_b_00020,"And the high shadow followed him and struck him with a single blow, and the boy felt his heart.",0,0,2,0,0,1
arq_dev_track_b_00021,"The narrator: The lamp of his bed and his bed back, the water is boiling and he is coughing on it with a very sick man, and he has not added anything.",0,0,0,0,2,1
arq_dev_track_b_00022,"Narrator: So that the city would be rebuilt, people would build new walls and empty them, and the buildings would be rebuilt, and the walls would be rebuilt, and the walls would be rebuilt, and the old city would be rebuilt.",0,0,0,0,1,0
arq_dev_track_b_00023,"My eyes: ""Shut up, Manish, I want to hear you! Shut up! Shut up!",3,2,0,0,2,0
arq_dev_track_b_00024,"The narrator: And with these two, they go on and on and on.",2,0,0,0,0,0
arq_dev_track_b_00025,The narrator: Jeddah was soaking her soul with food that her stomach couldn't digest it.,0,2,0,0,2,0
arq_dev_track_b_00026,"Narrator: Omar was short on the gachi with he was a small and light boy, divorced his soul and left the wave to him and his wife with her.",0,0,0,1,0,0
arq_dev_track_b_00027,You and your children have been banished from Dari! Go with the sword!,3,1,0,0,0,0
arq_dev_track_b_00028,"The narrator: My aunt Hassan was interacting with Mansouriya, their little aunt's daughter.",0,0,0,0,0,0
arq_dev_track_b_00029,The narrator: <unk> Age does not fail from time to time to listen to the speaker.,0,0,0,0,0,1
arq_dev_track_b_00030,The narrator: Morma Tsakkj Awood or his feet don't feel like they're going to be hidden by Lala Zuhra's neighbor.,0,0,3,0,0,0
arq_dev_track_b_00031,"The girls are walking around and they're walking around the house: potatoes, crawfish, meat, pumpkin, and fun.",0,0,0,3,0,1
arq_dev_track_b_00032,"Narrator: In the upper Babylonian dynasty, the Pahlavi were as comfortable as on the continent of Ali.",0,0,0,0,0,0
arq_dev_track_b_00033,The narrator: They were eating and her heart was beating.,1,0,0,0,2,0
arq_dev_track_b_00034,The narrator: Jeddah was a food and drinking place. Her clothes were worn by Moshe Bledam and she came there.,0,2,0,0,2,0
arq_dev_track_b_00035,"In fact, Omar used to be so obsessed with how one could save her, control her clothes and fear the elders and eat her flesh.",0,0,2,0,1,2
arq_dev_track_b_00036,Narrator: His followers were running so that they could reduce their lives to this prison.,0,0,0,0,2,0
arq_dev_track_b_00037,Zina: Do you understand?,0,0,0,0,0,2
arq_dev_track_b_00038,"Narrator: Her sleeping judgment, a single blow and her sword moved without hearing the senses of the sword.",0,0,0,0,0,1
arq_dev_track_b_00039,Lala: Your salary is a service to ensure you a happy life.,0,0,0,2,0,0
arq_dev_track_b_00040,My eyes: Lord! My soul is in Mary's arms. Is it your will?,2,0,0,0,0,0
arq_dev_track_b_00041,My eyes have heard how dangerous this story is. My grandmother used to tell her that he was sleeping and that he was lying and that the villagers were coming to her and hating them.,1,1,0,0,1,0
arq_dev_track_b_00042,The narrator: The sides of the dry bread that she gave them were hours of hard work to make their eyes look smooth and able to eat them.,0,1,0,0,1,0
arq_dev_track_b_00043,"The old woman's life: ""Does it hurt? It doesn't hurt the ant"".",0,1,0,0,0,1
arq_dev_track_b_00044,Narrator: Lala was a mermaid in her hand swimming as a whale always cheering her and moving in it from morning to night without being trapped.,1,0,0,0,0,0
arq_dev_track_b_00045,"The narrator: The sun does not go down, the wind blows, the new one takes off. She was sleeping with the one who drops the hot air. The hospital was sleeping with her even for the stone.",0,2,0,0,0,1
arq_dev_track_b_00046,My eyes: And the one who captured them and left them alone in the quarter of an hour?,0,0,0,0,0,1
arq_dev_track_b_00047,"Narrator: Hamid Siraj was thirty years old or more, even if his face showed intention, no anger, and people looked at him like sailors.",0,0,0,0,0,0
arq_dev_track_b_00048,"Zina's face began to change and her judgment became harsh, not too tired: ""As it is, the master of the house does not eat and does not sleep. He lived only for the meetings"".",2,0,0,0,2,0
arq_dev_track_b_00049,"The narrator: Aisha was a little tired, she looked at her and her jewelry and then she came back and said what she had been.",0,0,0,0,1,0
arq_dev_track_b_00050,"My eyes: ""How long have you been a servant, how long have you been a servant, how long have you been a servant, how long have you been a servant, how long have you been a servant, how long have you been a servant?""",3,2,0,0,2,0
arq_dev_track_b_00051,"My eyes widened as I saw that machine that was there when I got married: ""that the honey was still in the balsam trees"".",0,0,0,1,1,0
arq_dev_track_b_00052,The narrator: And the hospital was the home of the elephant.,0,0,0,0,0,0
arq_dev_track_b_00053,"And many of the men of Rahob complained, and Rahob filled the whole night, and went round and round, and round and round, and round and round, and round and round, and round and round, and round and round.",0,1,1,0,2,0
arq_dev_track_b_00054,The narrator: They were all calling her my little aunt's daughter. She was coming like this to all the people and they were letting her sit and eat from the washing machine.,0,0,0,2,0,0
arq_dev_track_b_00055,"The narrator: One fat man, Gonzales! We were all fat and pale.",0,1,0,0,0,1
arq_dev_track_b_00056,"Address in Khwaja: ""Oh, this is a big meatball, like this"".",0,0,0,2,0,0
arq_dev_track_b_00057,"Omar Khomeini: ""Who is this enemy? The enemy is in his country?"" Omar Hashim Yassqsi on the bread net that he was eating.",0,0,1,0,0,1
arq_dev_track_b_00058,"The door was slammed shut from the outside, and the neighbor broke it.",2,0,2,0,0,1
arq_dev_track_b_00059,The narrator: The miners were creatures of my own imagination.,0,0,2,0,0,2
arq_dev_track_b_00060,"Zina: ""We said to the Lord, 'Don't drink or interfere.'""",0,1,0,0,1,0
arq_dev_track_b_00061,Narrator: The hospital was among the hospitals where they were mixed up with each other in the nursery and there were small parties of them.,0,0,0,0,0,0
arq_dev_track_b_00062,L: To put them all in jail and have to see how they're treated and be punished.,1,1,0,0,0,0
arq_dev_track_b_00063,The narrator: Mor Ma Dar Al-Husn and the only ones who started walking in the shadows.,0,0,1,0,0,1
arq_dev_track_b_00064,"Maryam: ""No, we're not too fair. We're not too close.",1,1,2,0,2,2
arq_dev_track_b_00065,"Narrator: For the earth was shaken by the moon, for the moon was shining, for two men were sleeping.",0,0,0,1,0,0
arq_dev_track_b_00066,The narrator: Omar Rahm for his heroism.,0,0,0,0,0,0
arq_dev_track_b_00067,"My eyes: ""Didn't you think he was saying that?""",0,0,0,0,0,2
arq_dev_track_b_00068,"Narrator: In the middle of the night, a dog goes to Grandma's house. The dog smells of food.",0,1,1,0,1,2
arq_dev_track_b_00069,Age: Hanai is very old. One who knows how to count the number of years he has lived.,0,0,0,0,0,0
arq_dev_track_b_00070,House owner: Let me say the word in my heart.,2,0,0,0,0,0
arq_dev_track_b_00071,"The narrator: Was it the whole Ghaznavids who said, ""Oh, they were here?""",0,0,0,0,0,1
arq_dev_track_b_00072,"Narrator: From that day on, the situation worsened in the hospital and that worsening did not increase.",0,2,0,0,1,0
arq_dev_track_b_00073,"After the situation was a bit frightening. The women started screaming and had to run ""Did you open the door or not?"" They were all worried.",0,0,3,0,0,2
arq_dev_track_b_00074,Narrator: All the younger generations were walking around beating and having to turn away from the stone that the group of adults was beating their group to fight with it.,2,1,1,0,0,0
arq_dev_track_b_00075,"My eyes: no, I don't want it! I can't say it's a big deal. This cloth is pink. Without it, you'll feel better.",0,0,0,1,0,1
