id,text,anger,disgust,fear,joy,sadness,surprise
amh_train_track_b_00001,The Kagyu-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara-Sahara,0,2,0,0,0,0
amh_train_track_b_00002,It's better for you to cry than to suffer like this.,0,0,0,0,1,0
amh_train_track_b_00003,This is what it means when the best journalist and the best politician meet. This is the answer to the questions of the Dere Sal with the beauty of expression and the serenity and tenderness of Jawar.,0,0,0,2,0,0
amh_train_track_b_00004,even with a little man heaven earth will rejoice. wet learn from your mistakes (i hope) from arrogance and selfishness get out of your way things get out of control peace,1,0,0,0,0,0
amh_train_track_b_00005,"He's not married, he's probably lying in bed.",1,0,0,0,0,0
amh_train_track_b_00006,The problem of all this crisis was that the river Abay was our water resource. Now the river Abay is filling itself. It's flowing into the Bay of Biscay.,0,0,0,1,0,0
amh_train_track_b_00007,"It took a long time to prove that Abiy Ahmed is an enemy of the Oromo, so it is not possible to say that I do not know the cruelty and murder that Abiy is doing in Hawala. Abiy means that the enemy of all mankind is the sick and bloodthirsty Satan.",0,2,0,0,0,0
amh_train_track_b_00008,What kind of perseverance and patience is this? My sister is very sick. God strengthen you a lot.,0,0,0,0,3,0
amh_train_track_b_00009,EO what you have done among the fathers is to talk and discuss and agree to reconcile it is good to talk and agree to reconcile it is heavenly wisdom but the people no longer have to hear from you the gospel of Christ alone we are strong,0,0,0,2,0,0
amh_train_track_b_00010,"Don't trade in the name of defense. When you can't face Fanon face to face, you say it's a conspiracy to kill babies and old women with drones. It's possible to grow up for a while, but you can't escape the arms of the masses.",2,2,0,0,0,0
amh_train_track_b_00011,"Ethiopians are really short-sighted, we were created to applaud, to applaud, to applaud, to applaud, to applaud, to applaud, to applaud, to applaud, to applaud, to applaud, to applaud.",2,1,0,0,1,0
amh_train_track_b_00012,In our people say Jawar our people means Oromo I was surprised that this veteran journalist went to Kenya to interview our ethnic people like Jawar it is a disgrace our country has caused all these problems to us ethnic people what Kenya you have exhausted Addis Ababa soul is so much that this journalist has exhausted,1,1,0,0,0,0
amh_train_track_b_00013,"Drone tank killing is not just for the people of Amhara, it is for the people, it is death, which is death, so no one can stop the progress of Fanon.",2,0,0,0,0,0
amh_train_track_b_00014,The light is the first spy. Gulfemanko put her in an endless anxiety.,0,1,0,0,0,0
amh_train_track_b_00015,"""Uff, my dear, the cruelty of the son of man is mine, the son created for temptation, your temptation is enough to tell you, my dear, what kind of mother is she?""",0,0,0,0,2,0
amh_train_track_b_00016,"The 16-year-old teenage captive soldier captured by the Darabit Front, Ibrahim Daewoo, was sent to Ashbari to be tried for his tragic wartime experiences.",0,0,0,0,2,0
amh_train_track_b_00017,Where is the suspects of crime should be detained? in what conditions should they be treated?,0,0,0,0,0,0
amh_train_track_b_00018,How sad it is that you are absent as a joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke joke,1,0,0,0,1,0
amh_train_track_b_00019,It's useless and you're saying that war is our culture! You'll end up like them! Wait a minute! Until the wine gets drunk!,1,2,0,0,0,0
amh_train_track_b_00020,"For the time being, the enemy of my enemy is their love.",1,0,0,0,0,0
amh_train_track_b_00021,"Mary, my sister, when I asked you two or three years ago, you said, ""Not now"". In the middle of Canada, Australia, they leave. My sister, if God doesn't teach you, you can't afford to die.",0,0,0,0,1,0
amh_train_track_b_00022,Her insulting behavior is not good!,0,0,0,0,0,0
amh_train_track_b_00023,I hadn't heard of the death of the Sisa Agena and the Suyum appointed. It's a waste of a man's life to learn.,0,0,0,0,2,0
amh_train_track_b_00024,"Even human blood, dog blood, our God will judge the man you threw on the scavenger's nest. This is the pain of the psyche. Let your child reach your family.",2,1,0,0,2,0
